title,description,content,headline_length,group
"Simplicity Wealth LLC Acquires 1,135 Shares of Haleon plc (NYSE:HLN)","Simplicity Wealth LLC boosted its stake in shares of Haleon plc (NYSE:HLN – Free Report) by 7.9% in the first quarter, HoldingsChannel reports. The firm owned 15,482 shares of the company’s stock after purchasing an additional 1,135 shares during the quarter.…","Simplicity Wealth LLC boosted its stake in shares of Haleon plc (NYSE:HLN – Free Report) by 7.9% in the first quarter, HoldingsChannel reports. The firm owned 15,482 shares of the company’s stock aft… [+4005 chars]",68,A
Performance Food Group (NYSE:PFGC) Shares Sold by Yousif Capital Management LLC,"Yousif Capital Management LLC reduced its position in Performance Food Group (NYSE:PFGC – Free Report) by 1.4% in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 40,654 …","Yousif Capital Management LLC reduced its position in Performance Food Group (NYSE:PFGC – Free Report) by 1.4% in the 1st quarter, according to the company in its most recent 13F filing with the Secu… [+6482 chars]",79,A
"Yousif Capital Management LLC Lowers Holdings in HealthEquity, Inc. (NASDAQ:HQY)","Yousif Capital Management LLC decreased its holdings in HealthEquity, Inc. (NASDAQ:HQY – Free Report) by 2.9% in the 1st quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 30,837 shares of the co…","Yousif Capital Management LLC decreased its holdings in HealthEquity, Inc. (NASDAQ:HQY – Free Report) by 2.9% in the 1st quarter, according to its most recent 13F filing with the Securities and Excha… [+5724 chars]",80,A
Wealthcare Advisory Partners LLC Buys 439 Shares of The Allstate Co. (NYSE:ALL),"Wealthcare Advisory Partners LLC boosted its stake in shares of The Allstate Co. (NYSE:ALL – Free Report) by 30.2% during the first quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The ins…","Wealthcare Advisory Partners LLC boosted its stake in shares of The Allstate Co. (NYSE:ALL – Free Report) by 30.2% during the first quarter, according to the company in its most recent Form 13F filin… [+5652 chars]",79,A
"Harbor Capital Advisors Inc. Raises Stock Position in Privia Health Group, Inc. (NASDAQ:PRVA)","Harbor Capital Advisors Inc. grew its holdings in Privia Health Group, Inc. (NASDAQ:PRVA – Free Report) by 27.5% in the first quarter, according to its most recent filing with the Securities & Exchange Commission. The institutional investor owned 31,509 share…","Harbor Capital Advisors Inc. grew its holdings in Privia Health Group, Inc. (NASDAQ:PRVA – Free Report) by 27.5% in the first quarter, according to its most recent filing with the Securities &amp; Ex… [+5284 chars]",93,B
Harbor Capital Advisors Inc. Buys New Shares in Minerals Technologies Inc. (NYSE:MTX),"Harbor Capital Advisors Inc. bought a new stake in Minerals Technologies Inc. (NYSE:MTX – Free Report) in the 1st quarter, Holdings Channel reports. The firm bought 10,249 shares of the basic materials company’s stock, valued at approximately $652,000. Severa…","Harbor Capital Advisors Inc. bought a new stake in Minerals Technologies Inc. (NYSE:MTX – Free Report) in the 1st quarter, Holdings Channel reports. The firm bought 10,249 shares of the basic materia… [+4978 chars]",85,B
Something stinks at Corner Brook's new hospital,Newfoundland and Labrador Health Services says they now know the source and are working to deal with it.,"For months a foul odour has lingered near both the main and emergency entrances of Corner Brook's new Western Memorial Regional Hospital, but a Newfoundland and Labrador Health Services representativ… [+2227 chars]",47,A
House primaries in Roanoke region signal arrival of 2025 election season,"Virginia House members serve two-year terms, and there are two primary elections happening in the Roanoke region on Tuesday.","Election season blooms anew Tuesday in Virginia, as voters prepare for primary contests before deciding on a slate of state and local candidates this fall.
All 100 members of the Virginia House of D… [+5947 chars]",72,A
$1.99: The Diabetes Code: Prevent and Reverse Type 2 Diabetes Naturally (eBook) by Dr. Jason Fung (1 replies),"Previous Frontpage Deal at $2 with 77 Deal Score and 139 comments.

Available Retailers:Amazon [amazon.com] (Kindle eBook)
Barnes &amp; Noble [barnesandnoble.com] (NOOK eBook)
Google Play Stor","Previous Frontpage Deal at $2 with 77 Deal Score and 139 comments.Available Retailers:
<table><tr><td>Author</td><td>Dr. Jason Fung</td></tr><tr><td>Publisher</td><td>Greystone Books</td></tr><tr><t… [+1655 chars]",109,B
$1.99: The Obesity Code: Unlocking the Secrets of Weight Loss (eBook) by Dr. Jason Fung (1 replies),"Previous Frontpage Deal at $2 with 69 Deal Score and 157 comments.

Available Retailers:Amazon [amazon.com] (Kindle eBook)
Barnes &amp; Noble [barnesandnoble.com] (NOOK eBook)
Google Play Stor","Previous Frontpage Deal at $2 with 69 Deal Score and 157 comments.Available Retailers:
<table><tr><td>Author</td><td>Dr. Jason Fung</td></tr><tr><td>Publisher</td><td>Greystone Books</td></tr><tr><t… [+1181 chars]",99,B
"About 60 people arrested after veterans' anti-ICE demonstration in Washington, DC, police say",Roughly 60 demonstrators were arrested on Friday outside the U.S. Capitol after breaching a police line of bike racks and running toward steps leading to the Capitol Rotunda.,"Roughly 60 demonstrators were arrested on Friday outside the U.S. Capitol after breaching a police line of bike racks and advancing toward steps leading to the Capitol Rotunda, according to Capitol P… [+2415 chars]",93,B
Yousif Capital Management LLC Trims Position in Chemed Co. (NYSE:CHE),"Yousif Capital Management LLC cut its position in Chemed Co. (NYSE:CHE – Free Report) by 4.6% in the first quarter, HoldingsChannel.com reports. The firm owned 5,329 shares of the company’s stock after selling 255 shares during the quarter. Yousif Capital Man…","Yousif Capital Management LLC cut its position in Chemed Co. (NYSE:CHE – Free Report) by 4.6% in the first quarter, HoldingsChannel.com reports. The firm owned 5,329 shares of the company’s stock aft… [+4584 chars]",69,A
"Yousif Capital Management LLC Sells 276 Shares of Primerica, Inc. (NYSE:PRI)","Yousif Capital Management LLC trimmed its position in shares of Primerica, Inc. (NYSE:PRI – Free Report) by 2.3% during the 1st quarter, Holdings Channel.com reports. The institutional investor owned 11,844 shares of the financial services provider’s stock af…","Yousif Capital Management LLC trimmed its position in shares of Primerica, Inc. (NYSE:PRI – Free Report) by 2.3% during the 1st quarter, Holdings Channel.com reports. The institutional investor owned… [+4289 chars]",76,A
"Harbor Capital Advisors Inc. Purchases Shares of 8,334 Adtalem Global Education Inc. (NYSE:ATGE)","Harbor Capital Advisors Inc. purchased a new stake in shares of Adtalem Global Education Inc. (NYSE:ATGE – Free Report) during the first quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institution…","Harbor Capital Advisors Inc. purchased a new stake in shares of Adtalem Global Education Inc. (NYSE:ATGE – Free Report) during the first quarter, according to the company in its most recent disclosur… [+5532 chars]",96,B
"Pentobarbital injection used to execute Stephen Stanko, who killed two and raped his girl friend’s daughter, in South Carolina","Stephen Christopher Stanko faced execution in South Carolina. He was convicted for murders and other crimes. The execution happened via lethal injection. This event marks South Carolina's return to capital punishment. The state now offers lethal injection, fi…","Stephen Christopher Stanko, 57, was executed by lethal injection of pentobarbital at South Carolinas Broad River Correctional Institution. Stanko was convicted of two separate murders committed in 20… [+3352 chars]",126,B
"Pallas Capital Advisors LLC Takes Position in Church & Dwight Co., Inc. (NYSE:CHD)","Pallas Capital Advisors LLC bought a new stake in Church & Dwight Co., Inc. (NYSE:CHD – Free Report) in the first quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund bought 2,526 shares of the company’s stock…","Pallas Capital Advisors LLC bought a new stake in Church &amp; Dwight Co., Inc. (NYSE:CHD – Free Report) in the first quarter, according to its most recent disclosure with the Securities and Exchange… [+6903 chars]",82,B
"Pallas Capital Advisors LLC Raises Stock Holdings in Hologic, Inc. (NASDAQ:HOLX)","Pallas Capital Advisors LLC lifted its holdings in shares of Hologic, Inc. (NASDAQ:HOLX – Free Report) by 39.4% in the first quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 4,356 shares of the medic…","Pallas Capital Advisors LLC lifted its holdings in shares of Hologic, Inc. (NASDAQ:HOLX – Free Report) by 39.4% in the first quarter, according to its most recent disclosure with the Securities and E… [+5914 chars]",80,A
"Park Avenue Securities LLC Grows Holdings in Sprouts Farmers Market, Inc. (NASDAQ:SFM)","Park Avenue Securities LLC grew its holdings in shares of Sprouts Farmers Market, Inc. (NASDAQ:SFM – Free Report) by 2.6% in the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 4,749 shares of the company’s stock after acquiring an …","Park Avenue Securities LLC grew its holdings in shares of Sprouts Farmers Market, Inc. (NASDAQ:SFM – Free Report) by 2.6% in the 1st quarter, HoldingsChannel.com reports. The institutional investor o… [+6010 chars]",86,B
UMB Bank n.a. Grows Position in Hamilton Lane Incorporated (NASDAQ:HLNE),"UMB Bank n.a. raised its holdings in Hamilton Lane Incorporated (NASDAQ:HLNE – Free Report) by 270.3% during the 1st quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor owned 474 sh…","UMB Bank n.a. raised its holdings in Hamilton Lane Incorporated (NASDAQ:HLNE – Free Report) by 270.3% during the 1st quarter, according to the company in its most recent filing with the Securities &a… [+5174 chars]",72,A
"Merit Financial Group LLC Sells 17,799 Shares of Walgreens Boots Alliance, Inc. (NASDAQ:WBA)","Merit Financial Group LLC trimmed its position in shares of Walgreens Boots Alliance, Inc. (NASDAQ:WBA – Free Report) by 51.0% during the 1st quarter, Holdings Channel reports. The fund owned 17,128 shares of the pharmacy operator’s stock after selling 17,799…","Merit Financial Group LLC trimmed its position in shares of Walgreens Boots Alliance, Inc. (NASDAQ:WBA – Free Report) by 51.0% during the 1st quarter, Holdings Channel reports. The fund owned 17,128 … [+5573 chars]",92,B
